"CourseMajor";"CourseID";"ID";"CourseName";"CreditHour";"LectureHour";"LabHour";"Attribute";"GradeMode";"Prerequisite";"Corequisite"
"GEO";"GEO 4340";"4340";"Fundamental Themes in Geography";3;3;0;"044";"1";"";""
"GEO";"GEO 4341";"4341";"Water Policy";3;3;0;"";"1";"GEO 3434";""
"GEO";"GEO 4350";"4350";"Solid Waste Planning and Management";3;3;0;"";"1";"GEO 2110 or GEO 2410";""
"GEO";"GEO 4352";"4352";"Air Quality Management";3;3;0;"";"1";"[CHEM 1141 and CHEM 1341] or GEO 2110 or GEO 2410 or GEO 3305";""
"GEO";"GEO 4355";"4355";"Geography of Crime";3;3;0;"";"1";"";""
"GEO";"GEO 4356";"4356";"Urban Infrastructure Management";3;3;0;"044";"1";"CE 3360 or [GEO 2426 and GEO 3301]";""
"GEO";"GEO 4380";"4380";"Internship in Geography";3;3;0;"045";"1";"";""
"GEO";"GEO 4390";"4390";"Independent Study";3;3;0;"045";"1";"";""
"GEO";"GEO 4393A";"4393A";"Environmental Compliance";3;3;0;"044 045";"1";"GEO 3321 or GEO 3434 or GEO 4350 or GEO 4352";""
"GEO";"GEO 4393B";"4393B";"Business Geography";3;3;0;"045";"1";"";""
"GEO";"GEO 4393E";"4393E";"Race, Class, and the American City";3;3;0;"045";"1";"";""
"GEO";"GEO 4393F";"4393F";"Geographies of the Holocaust and Genocide";3;3;0;"045";"1";"";""
"GEO";"GEO 4393G";"4393G";"Geographic Elements of Environmental Law";3;3;0;"044 045";"1";"GEO 3321 or GEO 3434 or GEO 4350 or GEO 4352";""
"GEO";"GEO 4411";"4411";"Advanced Cartographic Design";4;2;4;"047";"1";"GE0 3411";""
"GEO";"GEO 4412";"4412";"Digital Image Processing and Machine Learning";4;3;2;"044 047";"1";"GEO 3301 and GEO 3416";""
"GEO";"GEO 4417";"4417";"Digital Terrain Modeling";4;3;2;"047";"1";"GEO 2426 and GEO 3416";""
"GEO";"GEO 4420";"4420";"GeoProgramming";4;3;2;"";"1";"GEO 3426";""
"GEO";"GEO 4422";"4422";"Web Mapping";4;2;4;"047";"1";"GEO 3411";""
"GEO";"GEO 4424";"4424";"GPS and GIS";4;2;4;"";"1";"GEO 3411 or GEO 3426";""
"GEO";"GEO 4427";"4427";"GIS Consulting Practicum";4;2;4;"047";"1";"GEO 3426";""
"GEO";"GEO 4430";"4430";"Field Methods";4;2;4;"044 047";"1";"[GEO 2110 or GEO 2410] and GEO 3301 ";""
"GEOL";"GEOL 1410";"1410";"Physical Geology";4;3;2;"030 047";"1";"";""
"GEOL";"GEOL 1420";"1420";"Historical Geology";4;3;2;"030 047";"1";"";""
"GEOL";"GEOL 3410";"3410";"Sedimentation and Stratigraphy";4;3;3;"047";"1";"GEOL 3450";""
"GEOL";"GEOL 3430";"3430";"Structural Geology";4;3;3;"047";"1";"GEOL 1420";""
"GEOL";"GEOL 3450";"3450";"Earth Materials";4;3;3;"";"1";"GEOL 1410";""
"GEOL";"GEOL 4121";"4121";"Directed Study";1;1;0;"045";"1";"GEOL 1420";""
"GEOL";"GEOL 4320";"4320";"Topics in Field Geology";3;1;6;"044 045";"1";"GEOL 1420";""
"GEOL";"GEOL 4321";"4321";"Directed Study";3;3;0;"045";"1";"GEOL 1420";""
"GEOL";"GEOL 4330A";"4330A";"Introduction to Petroleum Geology";3;3;0;"045";"1";"GEOL 1420";"GEOL 4121"
"GEOL";"GEOL 4330B";"4330B";"Planetary Geology";3;3;0;"045";"1";"GEOL 1420";""
"GEOL";"GEOL 4330C";"4330C";"Survey of Economic Mineral Deposits";3;3;0;"045";"1";"GEOL 3450";""
"GEOL";"GEOL 4330D";"4330D";"Tectonics and Geology of the USA";3;3;0;"045";"1";"GEOL 1420";""
"GEOL";"GEOL 4421";"4421";"Hydrogeology";4;3;3;"044 047";"1";"GEOL 1420";""
"GER";"GER 1410";"1410";"Beginning German I";4;3;1;"022 047";"1";"";""
